"original_park","matched_park","similarity"
"motor parkway","motor parkway",1
"mount prospect park","mount prospect park",1
"msgr. mcgolrick park","msgr. mcgolrick park",1
"mullaly park","alley park",0.846296296296296
"murray playground","murray playground",1
"n/a",NA,NA
"naples playground","naples playground",1
"near roebling playground","daniel boone playground",0.842046238785369
"nelson playground","nelson playground",1
"new dorp lane and new dorp plaza",NA,NA
"new dorp park","new dorp park",1
"norelli-hargreaves playground","norelli-hargreaves playground",1
"ny botanical garden","6bc botanical garden",0.865892672858617
"nyc parking garage",NA,NA
"o'sullivan plaza","o'sullivan plaza",1
"oak grove park","frank golden park",0.8265639589169
"oakland gardens","oakland gardens",1
"oakland gardens playground","oakland gardens",0.858974358974359
"oakland lake","oakland gardens",0.833333333333333
"oakwood beach",NA,NA
"ocean breeze park","ocean breeze park",1
"ocean breeze track & field athletic complex","ocean breeze park",0.750256497948016
"old town playground","old town playground",1
"olmsted-beil house park","olmsted-beil house park",1
"orchard beach",NA,NA
"othmar ammann playground","chiarantano playground",0.847474747474747
"outside of prospect park on private property",NA,NA
"owl hollow fields",NA,NA
"owl's head park","owl's head park",1
"owls head park","owl's head park",0.977777777777778
"p.o. serrano playground","p.o. serrano playground",1
"p.s.117 playground","p.s. 125 playground",0.889498050682261
"paerdegat park","paerdegat park",1
"palmer inlet","palmer inlet",1
"parade ground","parade ground",1
"parade place","padre plaza",0.797474747474747
"park avenue green space","park avenue malls",0.786932164170016
"park avenue malls","park avenue malls",1
"park of the americas","park of the americas",1
"park slope playground","park slope playground",1
"parks street tree",NA,NA
"parque de los ninos baseball field",NA,NA
"paul raimonda playground","paul raimonda playground",1
"payson playground","davidson playground",0.890608875128999
"pelham bay park","pelham bay park",1
"pelham parkway","pelham parkway",1
"pena herrera park","pena herrera playground",0.878942881500426
"peter detmold park","peter detmold park",1
"peters field","peters field",1
"phil ""scooter"" rizzuto park","phil ""scooter"" rizzuto park",1
"pier 11","pier 42",0.80952380952381
"playground 103 ciii","playground 103 ciii",1
"playground 115","playground 115",1
"playground eighty lxxx","playground eighty lxxx",1
"playground eighty nine lxxxix","playground eighty nine lxxxix",1
"playground ninety","playground ninety",1
"playground one forty","playground one forty",1
"playground thirty five xxxv","playground thirty five xxxv",1
"plaza 67","plaza",0.875
"plimpton playground","plimpton playground",1
"plumb beach",NA,NA
"poe park","poe park",1
"police officer edward byrne park","police officer edward byrne park",1
"potomac playground","potomac playground",1
"powell's cove park","powell's cove park",1
"power playground","power playground",1
"pratt playground","pratt playground",1
"prescott playground","prospect playground",0.909356725146199
"printers park","printers park",1
"private property",NA,NA
"prospect park","prospect park",1
"prospect park lake","prospect park",0.907407407407407
"ps 153","ps 53",0.944444444444444
"pugsley creek park","pugsley creek park",1
"pulaski park","pulaski park",1
"purple playground","purple playground",1
"queens borough hall","queensboro oval",0.786189833558255
"queens botanical garden","united block association garden",0.752376499922082
"queens bridge park","queensbridge park",0.912854030501089
"queens farm park","queens farm park",1
"queensboro hall","queensboro oval",0.911111111111111
"queensbridge park","queensbridge park",1
"railroad park","railroad park",1
"rainbow garden of life and health","rainbow garden of life and health",1
"rainey park","rainey park",1
"ralph demarco park","ralph demarco park",1
"ranaqua garage","ranaqua playground",0.768638768638769
"ranaqua park","ranaqua playground",0.842592592592593
"randall's island","randall's island park",0.920634920634921
"randall's island park","randall's island park",1
"raoul wallenberg forest","raoul wallenberg forest",1
"rappaport playground","rappaport playground",1
"ravenswood playground","ravenswood playground",1
"raymond o'connor park","raymond o’connor park",0.968253968253968
"red hook park.","brook park",0.792063492063492
"red hook recreation area","red hook recreation area",1
"red hook recreation center","red hook recreation area",0.905788655788656
"reed's basket willow swamp park","reed's basket willow swamp park",1
"reiff playground","reiff playground",1
"rev j polite playground","rev j polite playground",1
"rev. t. wendell foster park and recreation center","rev. t. wendell foster park and recreation center",1
"richman (echo) park","richman (echo) park",1
"ridgewood reservoir",NA,NA
"rienzi playground","rienzi playground",1
"riverdale park","riverdale park",1
"riverdale playground","riverdale playground",1
"riverside park","riverside park",1
"riverside park south","riverside park south",1
"robert bendheim playground","riverbend playground",0.867273954116059
"robert l. clinkscales playground and community garden","robert l. clinkscales playground and community garden",1
"robert moses playground","robert moses playground",1
"rock garden park","rock garden park",1
"rockaway beach 48 street","rockaway beach",0.861111111111111
"rockaway beach 95th street","rockaway beach",0.846153846153846
"rockaway beach and boardwalk","rockaway beach and boardwalk",1
"rockaway community park","rockaway community park",1
"rockaway freeway","rockaway freeway",1
"rocket park","hackett park",0.856060606060606
"rodney playground center","rodney playground center",1
"roebling playground","roebling playground",1
"roger morris park","roger morris park",1
"roy wilkins park","bushwick inlet park",0.780954790823212
"roy wilkins recreation center","roy wilkins recreation center",1
"rufus king park","rufus king park",1
"russell pedersen playground","russell pedersen playground",1
"russell sage playground","russell sage playground",1
"sachkerah woods playground","south rochdale playground",0.825384615384615
"sara d. roosevelt park","sara d. roosevelt park",1
"saratoga park","saratoga park",1
"sarsfield playground","sarsfield playground",1
"schmul park","schmul park",1
"schmul park 40.589434, -74.187249","schmul park",0.777777777777778
"seaside playground","seaside playground",1
"seaside wildlife nature park","seaside wildlife nature park",1
"sedgwick playground","sedgwick playground",1
"seguine mansion","genesis community garden",0.752777777777778
"seguine mansion- historical building",NA,NA
"seth low playground/ bealin square","seth low playground/ bealin square",1
"seton falls park","seton falls park",1
"seton park","seton park",1
"sheepshead bay piers","sheepshead bay piers",1
"sheepshead playground","sheepshead playground",1
"sheltering arms playground","sheltering arms playground",1
"sheridan triangle","sheridan triangle",1
"sherman creek","sherman creek",1
"sherman park","sherman creek",0.867521367521368
"shoelace park","peace park",0.864102564102564
"shore park and parkway","shore park and parkway",1
"shore parkway","hero park",0.86039886039886
"shore road park","owl's head park",0.797222222222222
"silver lake park","silver lake park",1
"silverstein family park","silver lake park",0.829891304347826
"siren slope","siren slope",1
"skyline playground","mckinley playground",0.897374154340099
"snug harbor cultural center","snug harbor cultural center",1
"sobelsohn playground","glenwood playground",0.849451754385965
"socrates sculpture park","socrates sculpture park",1
"sorrentino recreation center","sorrentino recreation center",1
"soundview park","soundview park",1
"south beach","south beach wetlands",0.85
"south beach wetlands","south beach wetlands",1
"south oxford park","south oxford park",1
"south pacific playground","south pacific playground",1
"south rochdale playground","south rochdale playground",1
"south shore country club","south shore country club",1
"southern fields athletic fields","southern fields",0.827956989247312
"southern stables","southern fields",0.822222222222222
"southwest playground","mott playground",0.877777777777778
"space time playground","space time playground",1
"spirit playground","spirit playground",1
"spring creek park","spring creek park",1
"spring creek park addition","spring creek park addition",1
"springfield park","springfield park",1
"st. albans park","st. vartan park",0.866666666666667
"st. andrew's playground","st. andrew's playground",1
"st. catherine's park","st. catherine's park",1
"st. james park","st. james park",1
"st. james recreation center","st. james triangle",0.76466049382716
"st. john's recreation center","st. john's park",0.751343101343101
"st. mary's park","st. mary's park",1
"st. mary's recreation center","hansborough recreation center",0.777093596059113
"st. michael's playground","st. michael's playground",1
"st. nicholas park","st. nicholas park",1
"st. nicholas playground south","st. nicholas playground south",1
"stanley isaacs playground","stanley isaacs playground",1
"stapleton esplanade","stapleton esplanade",1
"stapleton playground","telephone playground",0.880392156862745
"starlight park","starlight park",1
"starlight park zone 1","starlight park",0.888888888888889
"starlight park-starlight park playground","starlight park",0.783333333333333
"stebbins playground","stebbins playground",1
"sternberg park","sternberg park",1
"story playground","story playground",1
"street tree",NA,NA
"street tree in sunnyside",NA,NA
"stroud playground","stroud playground",1
"stuyvesant cove park","sunset cove park",0.808333333333333
"stuyvesant square","stuyvesant square",1
"sumner playground","sumner playground",1
"sunners playground","sunners playground",1
"sunrise playground","sunrise playground",1
"sunset cove","sunset cove park",0.895833333333333
"sunset park","sunset park",1
"sunshine playground","sunshine playground",1
"sutton place park","sutton place park",1
"tappen park","tappen park",1
"taylor playground","taylor playground",1
"ten eyck playground","ten eyck playground",1
"the battery","the battery",1
"the big park","the big park",1
"the high line","the high line",1
"theodore roosevelt park","theodore roosevelt park",1
"thomas boyland park","thomas boyland park",1
"thomas j. cuite park","thomas j. cuite park",1
"thomas jefferson park","thomas jefferson park",1
"thomas jefferson recreation center","thomas jefferson park",0.803651285075434
"thorpe family playground","thorpe family playground",1
"tompkins square park","tompkins square park",1
"tompkinsville park","tompkinsville park",1
"torsney playground","torsney playground",1
