original_park,matched_park,similarity,final_match
hoffman park,hoffman park,1,hoffman park
holocaust memorial park,father macris park,0.778180354,na
holy cow playground,holy cow playground,1,holy cow playground
homecrest playground,homecrest playground,1,homecrest playground
hoover - manton playgrounds,hoover - manton playgrounds,1,hoover - manton playgrounds
horace harding playground,horace harding playground,1,horace harding playground
hot spot tot lot,hot spot tot lot,1,hot spot tot lot
hoyt playground,hoyt playground,1,hoyt playground
hudson park,seton park,0.842424242,battery park city
hudson river park,hutchinson river parkway,0.806781046,na
hudson yards,NA,NA,na
hudson yards entrance to highline park,NA,NA,the high line
hunter's point south park,hunter's point south park,1,hunter's point south park
hunts point playground,hunts point playground,1,hunts point playground
hutchinson river parkway,hutchinson river parkway,1,hutchinson river parkway
hylan boulevard and ithaca street,NA,NA,na
idlewild park,idlewild park,1,idlewild park
industrial park,central park,0.833333333,staten island industrial park
ingram woods,ingram woods,1,ingram woods
inwood hill park,inwood hill park,1,inwood hill park
irving square park,irving square park,1,irving square park
isham park,isham park,1,isham park
j hood wright park,j. hood wright park,0.98245614,j. hood wright park
j. hood wright park,j. hood wright park,1,j. hood wright park
j. hood wright recreation center,j. hood wright park,0.789054438,j. hood wright park
j.j. byrne playground,century playground,0.804761905,washington park
jackie robinson park,jackie robinson park,1,jackie robinson park
jackie robinson recreation center,jackie robinson community garden,0.815510878,jackie robinson park
jackson pond playground,john hancock playground,0.838043478,forest park
jacob h. schiff playground,jacob h. schiff playground,1,jacob h. schiff playground
jacob joffe fields,jacob joffe fields,1,jacob joffe fields
jacob riis beach,jacob riis triangle,0.806595816,na
jacob's ladder playground,jacob's ladder playground,1,jacob's ladder playground
jaime campiz playground,jaime campiz playground,1,jaime campiz playground
jamaica gateway park,jamaica bay park,0.851388889,gateway park
james finley walk,NA,NA,carl schurz park
jennifer's playground,jennifer's playground,1,jennifer's playground
jerome park reservoir,jerome park,0.841269841,jerome park
jerome x o'donovan park,NA,NA,reed's basket willow swamp park
jesse owens playground,jesse owens playground,1,jesse owens playground
joe michaels mile,NA,NA,cross island parkway
john e. white park,john e. white park,1,john e. white park
john golden park,john golden park,1,john golden park
john j carty park,john j carty park,1,john j carty park
john jay park,john jay park,1,john jay park
john paul jones park,john paul jones park,1,john paul jones park
john v. lindsay east river park,john v. lindsay east river park,1,john v. lindsay east river park
jones woods park,jones woods park,1,jones woods park
joseph manna park,joseph manna park,1,joseph manna park
joseph rodman drake park,joseph rodman drake park & enslaved african burial ground,0.807017544,joseph rodman drake park & enslaved african burial ground
joyce kilmer park,joyce kilmer park,1,joyce kilmer park
judge moses weinstein playground,judge moses weinstein playground,1,judge moses weinstein playground
juniper valley park,juniper valley park,1,juniper valley park
kaiser park,kaiser park,1,kaiser park
kelly park,alley park,0.896296296,kelly park playground
kennedy king playground,kennedy king playground,1,kennedy king playground
kensington dog run,NA,NA,prospect park
king fisher park,king fisher park,1,king fisher park
kingdom pond park,kingdom pond park,1,kingdom pond park
kissena corridor park,kissena corridor park,1,kissena corridor park
kissena park,kissena park,1,kissena park
kolbert playground,kolbert playground,1,kolbert playground
l/cpl thomas p. noonan jr. playground,l/cpl thomas p. noonan jr. playground,1,l/cpl thomas p. noonan jr. playground
